stars,useful,funny,cool,text,word_count,char_count,exclamation_count,is_hazard
1.0,1,0,0,"If I could give it a zero, I would. I order a plain hamburger, and realized they put bacon in it (which I am allergic to and unable to eat) after two bites. When I went back to the drive-through window to complain (didn't realize the actual restaurant was open--it was almost 2 after all...), the guy took back the burger, said nothing, and disappeared. After 2 minutes of awkwardly making conversation with the next people in line in their car, he came back and rudely told me I had to go inside to get my food. Which I did. And still did not get an apology. I refuse to go back there after that ordeal, which is a shame, because it's nice to have a variety of places to go to after DT. Guess Freebirds it is!",138,710,1,1
3.0,0,0,0,"If you decide to eat here, just be aware it is going to take about 2 hours from beginning to end. We have tried it multiple times, because I want to like it! I have been to it's other locations in NJ and never had a bad experience. The food is good, but it takes a very long time to come out. The waitstaff is very young, but usually pleasant. We have just had too many experiences where we spent way too long waiting. We usually opt for another diner or restaurant on the weekends, in order to be done quicker.",101,511,1,0
5.0,0,0,0,"My husband and I took my mother here for her 100th birthday! We can't say enough about the treatment we received: from a great table and view, to delicious ""compliments of the chef"" extra dishes, to a beautifully decorated cake plate, to the warm and attentive servers. It was much more than we expected, even for this very special occasion. For us, it was a wonderfully memorable experience.",68,392,1,0
4.0,0,0,0,"Don't know what it is but If my tummy's feeling icky, I can count on Chipotle's stake to fix me up. I just have to remember not to go during full on lunch time. I usually go between 2 & 4 when it's peaceful and calm. Busy or not the service is always friendly and fast!",56,269,1,0
4.0,0,0,0,"Id you haven't been to the Smoothie King center since it was know as the New Orleans Arena, you are in for a nice surprise. The arena has had a face lift and, while the seats are the same, everything else has been refreshed. Most importantly, the food options are far more varied and appeal to many tastes. The quality of the food is very good and significantly improved from a few years back. The drink options are much improved as well and include full service bars, spiked lemonade, bottled and draft beer and of course, smoothies. There is even a spot for sweets. You can get funnel cake, cotton candy, and all kinds of delicious things I was too full to take in. The venue finally feels a bit swanky and top notch. We are moving on up!",139,740,1,0
5.0,0,0,0,"This place was so chill and relaxing. When I come back it'll definitely be in my list if stops. Not to mention the artist performing was fun and eclectic (I mean really, a country version of ""Let It Go"", what's not to love?)",43,224,0,0
4.0,7,0,0,"This is the first time I tried this place and I was surprisingly surprised. I had a combination dinner pad Thai and coconut soup. The soup was very tasty as I never had coconut soup before. The pad Thai was exactly what I was expecting and it did not disappoint. The restaurant had great Thai decor and music. The staff and service was top notch. For a town with not much selection for food, this was a great change of pace. This may become my go to place in Carp.",90,464,0,0
5.0,0,0,0,"I had the pleasure to meet with Ann today and not only was she extremely helpful and so positive, she went above and beyond to make my 1st experience here amazing and made it a absolute regular customer from this day forward. Thanks girlie!!",44,241,2,0
4.0,0,0,0,Enjoyed my fish out at a sidewalk table. A bit pricey but food was good. Go to Side street in French quarter if u want quieter dining outside.,28,142,0,0
2.0,2,2,1,"Meh is all I can say for TDS. The restaurant itself is just cold.... not literally, but figuratively. There was no decor, no menu boards, stainless steel prep tables as dining tables, no soda machines, staff EVERYWHERE with no identification (shirts, nametags, etc). The food is reasonably priced and most of it was quite good, but what really irked my party was the fact that they charge for extra salsa!!! We ordered a salsa trio (which included 3 samples of the various salsas, in 2oz glass prep bowls), and when my brother asked for more salsa for his tacos (mind you, we ordered one of ever taco, three burritos and guacamole), he was told he'd have to buy the trio again! Really!!??? We spent over $40 on food, drinks and apps, too. Even though the food was decent, I wouldn't return as the atmosphere is just blah and you can't get extra salsa for your damn tacos!",157,871,7,0
1.0,0,1,0,"Skip this train wreck if you are looking for dinner. Our server was clueless...like we seriously thought she was lost in the restaurant. Had to ask for setups, water refills, etc. Ordered chicken parmesan and got eggplant parmesan instead with a fish bone in it. The drinks were good.",49,284,0,0
3.0,2,1,0,"I visited this restaurant 4 times during my 5 days stay. Crazy, right? Here are a list of reasons/pros: - We were staying a nearby hotel. - The restaurant opens 11 - 10:30 pretty much every day including new year's day so it fits into our schedule. - If you are a party of two, chances are you get seated right away. - $9 per dozen of oysters which is a really great deal by any standard! - They have a seafood shop next door that sells boiled and fresh seafood to- go. - Our server (same) is very friendly and recognized us every single time. Now I want to talk about the reasons why I only give it 3 stars. - We tried a bunch of stuff which are all pretty mediocre. Raw oysters are not cleaned well. So if your schedule is flexible, go to Superior Seafood during their happy hours for their 50 cents/oyster - better quality and cheaper. Turtle soup has a strange taste so I definitely prefer Felix's. A portion of my boiled shrimps are always mushy somhow, maybe boiled for too long?... - The ambient is inviting but not comfortable so we basically just finished our food and go. - Clean the bathroom!! Will probably visit again if we stay in the area next time or simply just pick up some seafood quickly.",229,1208,3,0
5.0,4,0,0,Man. This place is nice. The bartender was awesome. Try the burger. It's fresh with all local ingredients. The plates of food I saw come out looked amazing as well. The beer is cold. The drinks are mixed perfectly. This is not a chain restaurant but a dedicated local place with good employees.,53,294,0,0
3.0,0,0,0,"A couple friends and I stopped by for some late night milkshakes and found ourselves at More Than Just Ice Cream. Well, we just got ice cream...not fully taking advantage of what the name implies, but maybe next time. 3 milkshakes: 1 coffee, 1 chocolate, and 1 black&white malt. All were pretty good. Definitely satisfied the ice cream craving. I thought my coffee milkshake could have been thicker, same goes for the chocolate. The black&white was plenty thick and was probably the best of the three. Unfortunately, I did not order that one so I settled for my not so creamy coffee. I did sample some ice cream flavors before setting on a milkshake. I tried the pumpkin pie which was AMAZING. I don't know why I didn't just get this. Maybe a milkshake isn't the way to go here.",140,778,0,0
3.0,0,0,0,"Family diner. Had the buffet. Eclectic assortment: a large chicken leg, fried jalapeño, tamale, two rolled grape leaves, fresh melon. All good. Lots of Mexican choices there. Also has a menu with breakfast served all day long. Friendly, attentive staff. Good place for a casual relaxed meal with no expectations. Next to the Clarion Hotel.",55,339,0,0
1.0,0,0,0,"We visited once and were very disappointed in my veggie pizza and my husband's sub sandwich. The tomato sauce was not tasty, and they did not use enough cheese on my pizza. The dough looked and tasted like it was prepared by a machine. Perhaps they have improved, but we are not in any rush to try a second time.",60,312,0,0
3.0,1,0,1,"My food only merited maybe two stars but I will give an extra star because I like the menu (and will try more of it) and their design and concept. Sadly though, my tomato-basil soup tasted kind of like a weak marinara and my tuna melt type sandwich had a very sharp, off-putting flavor. It was citrusy, for sure, and I love lemon in a tuna melt but perhaps this was lemon zest or something just way too overpowering? I think next time I will focus on the dishes with cured Italian meats, mortadella and prosciutto. And also the baked goods, those sounded pretty good, especially the Nutella bruschetta!",109,602,1,0
5.0,0,0,0,"Been here so many times before and all I can say is the food is really good. A hidden gem in Florissant, it has the best Panang curry around. Haven't been to their sister restaurant yet, but I can't seem to want to move on when I am always so satisfied with their fare here.",55,274,0,0
5.0,0,0,0,"I just started going to Sushi Nara this month (they opened just a short time ago). I love this place; it is clean, the staff are friendly and acommodating, and the service is fast. The sushi is always delicious ((I've been here 3 times) and the prices are reasonable. In fact, this week my husband stopped in for take out, bought 4 sushi rolls and the total was $24. That is amazing. I love the freshness of the food and there's a huge selection to choose from. Everyone on the eastside, check this place out!",95,509,1,0
5.0,0,0,0,"After living in the STL area for way over 10 years now, I am both ashamed and remorseful to admit that I ate here for the FIRST time just a few weeks ago. I am ashamed because it's a St. Louis tradition and remorseful because I missed out on it for so..many...years! This place is amazing. What is not to love! It's a factory where you can get a tour (Friday-Sunday, noon-5pm on the hour), there's a shop, bar, and dining area. They also host many event with live music on the weekends. It's fun to just kind of wander and look around - don't worry, you'll get a chance because there will likely be a wait before you dine. The beer is, of course, amazing. The Hefeweizen is my personal favorite and a great start for anyone who is not a huge beer drinker (like myself). Additionally, the food is homegrown and damn good. I had the pizza (recommendation from my server) and it was really spectacular, though I'm admittedly a pizza connoisseur so I enjoy a good pizza pie more than most probably ;P My date had a bison burger which was also really good. More fun info: the service is great! I think they tend to hire more funky and alternative people (like tattoo parlor staff) which I support. The quality is what makes this place stand out along with the emphasis on local food and brewery. It is a little on the pricier side but for all the experience you get and the quality, it is worth it. I will go again and again and you probably should, too!",273,1449,4,0
