model,metric,vs_heuristic_label,vs_gold_llm_label,delta
TF-IDF + LogReg (text-only control) (th=0.50),PR-AUC,0.9238288535317697,0.711170127803289,-0.21265872572848066
TF-IDF + LogReg (text-only control) (th=0.50),Recall (Safety Coverage),0.8666666666666667,0.7408450704225352,-0.12582159624413147
TF-IDF + LogReg (text-only control) (th=0.50),Precision (Alert Validity),0.8414239482200647,0.6575,-0.18392394822006475
TF-IDF + LogReg (text-only control) (th=0.50),F2 (recall-weighted),0.8614976805831677,0.7225274725274725,-0.13897020805569515
TF-IDF + LogReg (text-only control) (th=0.20),PR-AUC,0.9238288535317697,0.711170127803289,-0.21265872572848066
TF-IDF + LogReg (text-only control) (th=0.20),Recall (Safety Coverage),0.9133333333333333,0.8084507042253521,-0.10488262910798118
TF-IDF + LogReg (text-only control) (th=0.20),Precision (Alert Validity),0.7548209366391184,0.6391982182628062,-0.11562271837631222
TF-IDF + LogReg (text-only control) (th=0.20),F2 (recall-weighted),0.8765195137555982,0.7677902621722846,-0.10872925158331359
LSA 300d + LogReg (th=0.50),PR-AUC,0.9261833981220687,0.7573651714076961,-0.16881822671437263
LSA 300d + LogReg (th=0.50),Recall (Safety Coverage),0.8766666666666667,0.7408450704225352,-0.13582159624413148
LSA 300d + LogReg (th=0.50),Precision (Alert Validity),0.7897897897897898,0.5692640692640693,-0.2205257205257205
LSA 300d + LogReg (th=0.50),F2 (recall-weighted),0.857795172863666,0.6987247608926673,-0.1590704119709987
LSA 300d + LogReg (th=0.20),PR-AUC,0.9261833981220687,0.7573651714076961,-0.16881822671437263
LSA 300d + LogReg (th=0.20),Recall (Safety Coverage),0.9266666666666666,0.8366197183098592,-0.09004694835680749
LSA 300d + LogReg (th=0.20),Precision (Alert Validity),0.6619047619047619,0.532258064516129,-0.12964669738863288
LSA 300d + LogReg (th=0.20),F2 (recall-weighted),0.8580246913580247,0.7507583417593529,-0.10726634959867187
Doc2Vec PV-DBOW 300d + LogReg (th=0.50),PR-AUC,0.7805504959959427,0.6830856161410328,-0.09746487985490992
Doc2Vec PV-DBOW 300d + LogReg (th=0.50),Recall (Safety Coverage),0.6533333333333333,0.5943661971830986,-0.058967136150234745
Doc2Vec PV-DBOW 300d + LogReg (th=0.50),Precision (Alert Validity),0.7777777777777778,0.6452599388379205,-0.13251783893985725
Doc2Vec PV-DBOW 300d + LogReg (th=0.50),F2 (recall-weighted),0.6749311294765841,0.6038923869490556,-0.07103874252752851
Doc2Vec PV-DBOW 300d + LogReg (th=0.20),PR-AUC,0.7805504959959427,0.6830856161410328,-0.09746487985490992
Doc2Vec PV-DBOW 300d + LogReg (th=0.20),Recall (Safety Coverage),0.7433333333333333,0.6929577464788732,-0.050375586854460086
Doc2Vec PV-DBOW 300d + LogReg (th=0.20),Precision (Alert Validity),0.6947040498442367,0.5970873786407767,-0.09761667120346007
Doc2Vec PV-DBOW 300d + LogReg (th=0.20),F2 (recall-weighted),0.7330703484549639,0.6713973799126638,-0.06167296854230009
MiniLM-L6-v2 frozen 384d + LogReg (th=0.50),PR-AUC,0.8576648951325944,0.7092339916422015,-0.1484309034903929
MiniLM-L6-v2 frozen 384d + LogReg (th=0.50),Recall (Safety Coverage),0.83,0.8788732394366198,0.04887323943661981
MiniLM-L6-v2 frozen 384d + LogReg (th=0.50),Precision (Alert Validity),0.6622340425531915,0.5454545454545454,-0.1167794970986461
MiniLM-L6-v2 frozen 384d + LogReg (th=0.50),F2 (recall-weighted),0.7899746192893401,0.7831325301204819,-0.006842089168858201
MiniLM-L6-v2 frozen 384d + LogReg (th=0.20),PR-AUC,0.8576648951325944,0.7092339916422015,-0.1484309034903929
MiniLM-L6-v2 frozen 384d + LogReg (th=0.20),Recall (Safety Coverage),0.9133333333333333,0.9098591549295775,-0.0034741784037558565
MiniLM-L6-v2 frozen 384d + LogReg (th=0.20),Precision (Alert Validity),0.5447316103379721,0.5118858954041204,-0.03284571493385169
MiniLM-L6-v2 frozen 384d + LogReg (th=0.20),F2 (recall-weighted),0.8044627128596594,0.787420770355924,-0.017041942503735474
