model,ground_truth,provenance,PR-AUC,Recall (Safety Coverage),Precision (Alert Validity),F2 (recall-weighted),F1,Flag Rate,False Negatives (Missed),False Positives (Alarms),Total Risk Cost
Baseline XGBoost (th=0.50),heuristic label (test split),committed (results/performance_*.csv),0.9785437768288768,0.9933333333333332,0.9834983498349836,0.9913506320691948,0.988391376451078,0.202,2.0,5.0,10250.0
DeBERTa-v3 (th=0.50),heuristic label (test split),committed (results/performance_*.csv),0.9874188554578952,0.9366666666666666,0.9366666666666666,0.9366666666666666,0.9366666666666666,0.2,19.0,19.0,95950.0
"DeBERTa-v3 (th=0.20, deployed)",heuristic label (test split),committed (results/performance_*.csv),0.9874188554578952,0.9466666666666668,0.9131832797427653,0.9397749834546658,0.9296235679214404,0.2073333333333333,16.0,27.0,81350.0
TF-IDF + LogReg (text-only control) (th=0.50),heuristic label (test split),this run (src/embedding_model.py),0.9238288535317697,0.8666666666666667,0.8414239482200647,0.8614976805831677,0.8538587848932676,0.206,40.0,49.0,202450.0
TF-IDF + LogReg (text-only control) (th=0.20),heuristic label (test split),this run (src/embedding_model.py),0.9238288535317697,0.9133333333333333,0.7548209366391184,0.8765195137555982,0.8265460030165912,0.242,26.0,89.0,134450.0
LSA 300d + LogReg (th=0.50),heuristic label (test split),this run (src/embedding_model.py),0.9261833981220687,0.8766666666666667,0.7897897897897898,0.857795172863666,0.8309636650868878,0.222,37.0,70.0,188500.0
LSA 300d + LogReg (th=0.20),heuristic label (test split),this run (src/embedding_model.py),0.9261833981220687,0.9266666666666666,0.6619047619047619,0.8580246913580247,0.7722222222222223,0.28,22.0,142.0,117100.0
Doc2Vec PV-DBOW 300d + LogReg (th=0.50),heuristic label (test split),this run (src/embedding_model.py),0.7805504959959427,0.6533333333333333,0.7777777777777778,0.6749311294765841,0.7101449275362319,0.168,104.0,56.0,522800.0
Doc2Vec PV-DBOW 300d + LogReg (th=0.20),heuristic label (test split),this run (src/embedding_model.py),0.7805504959959427,0.7433333333333333,0.6947040498442367,0.7330703484549639,0.7181964573268921,0.214,77.0,98.0,389900.0
MiniLM-L6-v2 frozen 384d + LogReg (th=0.50),heuristic label (test split),this run (src/embedding_model.py),0.8576648951325944,0.83,0.6622340425531915,0.7899746192893401,0.7366863905325444,0.25066666666666665,51.0,127.0,261350.0
MiniLM-L6-v2 frozen 384d + LogReg (th=0.20),heuristic label (test split),this run (src/embedding_model.py),0.8576648951325944,0.9133333333333333,0.5447316103379721,0.8044627128596594,0.6824408468244084,0.3353333333333333,26.0,229.0,141450.0
Baseline XGBoost (th=0.50),gold LLM label (fresh holdout),committed (results/performance_*.csv),0.7279068025778693,0.6732394366197183,0.6927536231884058,0.6770538243626062,0.6828571428571428,0.4468911917098445,116.0,106.0,585300.0
DeBERTa-v3 (th=0.50),gold LLM label (fresh holdout),committed (results/performance_*.csv),0.8044513996324768,0.856338028169014,0.6191446028513238,0.7953950811093669,0.7186761229314421,0.6360103626943006,51.0,187.0,264350.0
"DeBERTa-v3 (th=0.20, deployed)",gold LLM label (fresh holdout),committed (results/performance_*.csv),0.8044513996324768,0.8901408450704226,0.6159844054580896,0.8173823072943611,0.728110599078341,0.6645077720207254,39.0,197.0,204850.0
TF-IDF + LogReg (text-only control) (th=0.50),gold LLM label (fresh holdout),this run (src/embedding_model.py),0.711170127803289,0.7408450704225352,0.6575,0.7225274725274725,0.6966887417218544,0.5181347150259067,92.0,137.0,466850.0
TF-IDF + LogReg (text-only control) (th=0.20),gold LLM label (fresh holdout),this run (src/embedding_model.py),0.711170127803289,0.8084507042253521,0.6391982182628062,0.7677902621722846,0.7139303482587065,0.5816062176165803,68.0,162.0,348100.0
LSA 300d + LogReg (th=0.50),gold LLM label (fresh holdout),this run (src/embedding_model.py),0.7573651714076961,0.7408450704225352,0.5692640692640693,0.6987247608926673,0.6438188494492044,0.5984455958549223,92.0,199.0,469950.0
LSA 300d + LogReg (th=0.20),gold LLM label (fresh holdout),this run (src/embedding_model.py),0.7573651714076961,0.8366197183098592,0.532258064516129,0.7507583417593529,0.6506024096385542,0.7227979274611399,58.0,261.0,303050.0
Doc2Vec PV-DBOW 300d + LogReg (th=0.50),gold LLM label (fresh holdout),this run (src/embedding_model.py),0.6830856161410328,0.5943661971830986,0.6452599388379205,0.6038923869490556,0.6187683284457478,0.42357512953367876,144.0,116.0,725800.0
Doc2Vec PV-DBOW 300d + LogReg (th=0.20),gold LLM label (fresh holdout),this run (src/embedding_model.py),0.6830856161410328,0.6929577464788732,0.5970873786407767,0.6713973799126638,0.6414602346805737,0.533678756476684,109.0,166.0,553300.0
MiniLM-L6-v2 frozen 384d + LogReg (th=0.50),gold LLM label (fresh holdout),this run (src/embedding_model.py),0.7092339916422015,0.8788732394366198,0.5454545454545454,0.7831325301204819,0.6731391585760518,0.7409326424870466,43.0,260.0,228000.0
MiniLM-L6-v2 frozen 384d + LogReg (th=0.20),gold LLM label (fresh holdout),this run (src/embedding_model.py),0.7092339916422015,0.9098591549295775,0.5118858954041204,0.787420770355924,0.6551724137931034,0.8173575129533679,32.0,308.0,175400.0
