model,metric,vs_heuristic_label,vs_gold_llm_label,delta
Baseline XGBoost (th=0.50),PR-AUC,0.9785437768288768,0.7279068025778693,-0.2506369742510075
Baseline XGBoost (th=0.50),Recall (Safety Coverage),0.9933333333333333,0.6732394366197183,-0.320093896713615
Baseline XGBoost (th=0.50),Precision (Alert Validity),0.9834983498349835,0.6927536231884058,-0.2907447266465777
Baseline XGBoost (th=0.50),F2 (recall-weighted),0.9913506320691949,0.6770538243626062,-0.31429680770658874
DeBERTa-v3 (th=0.50),PR-AUC,0.9874188554578951,0.8044513996324768,-0.1829674558254183
DeBERTa-v3 (th=0.50),Recall (Safety Coverage),0.9366666666666666,0.856338028169014,-0.0803286384976526
DeBERTa-v3 (th=0.50),Precision (Alert Validity),0.9366666666666666,0.6191446028513238,-0.31752206381534287
DeBERTa-v3 (th=0.50),F2 (recall-weighted),0.9366666666666666,0.7953950811093669,-0.1412715855572998
"DeBERTa-v3 (th=0.20, deployed)",PR-AUC,0.9874188554578951,0.8044513996324768,-0.1829674558254183
"DeBERTa-v3 (th=0.20, deployed)",Recall (Safety Coverage),0.9466666666666667,0.8901408450704226,-0.056525821596244086
"DeBERTa-v3 (th=0.20, deployed)",Precision (Alert Validity),0.9131832797427653,0.6159844054580896,-0.2971988742846756
"DeBERTa-v3 (th=0.20, deployed)",F2 (recall-weighted),0.9397749834546658,0.8173823072943611,-0.12239267616030469
