algorithm,k,coherence_npmi,purity_vs_llm_type,purity_over_baseline,nmi_vs_llm_type,nmi_null,nmi_above_null,ari_vs_llm_type,largest_topic_share,empty_topics
LDA,2,-0.45055282136595903,0.689908256880734,0.0,0.0658652796881652,0.002648279990916285,0.06321699969724892,0.1409496537429436,0.5746666666666667,0
LDA,3,-0.4408480704810384,0.6990825688073394,0.00917431192660545,0.07195475669601638,0.004324901261295483,0.0676298554347209,0.09598001185501931,0.434,0
LDA,4,-0.4249648051122592,0.7155963302752294,0.025688073394495414,0.10355394414634245,0.006037966572755748,0.0975159775735867,0.09118382541233504,0.404,0
LDA,5,-0.38938067405225074,0.710091743119266,0.020183486238532056,0.08246517955000307,0.008192134671221993,0.07427304487878107,0.058632612438586286,0.334,0
LDA,6,-0.4128057017046734,0.7064220183486238,0.016513761467889854,0.06194433157571166,0.010653948703282873,0.051290382872428784,0.0386192553060766,0.2806666666666667,0
LDA,8,-0.39158083219959483,0.7119266055045872,0.022018348623853212,0.07607452311664455,0.013302598732228912,0.06277192438441563,0.025855708190120334,0.224,0
LDA,10,-0.37666827249804236,0.7009174311926606,0.011009174311926606,0.055112646693611225,0.0173785306939476,0.03773411599966363,0.01751481759211083,0.19533333333333333,0
NMF,2,-0.2800082523439969,0.6954128440366972,0.0055045871559632475,0.041790673561884685,0.006977289571509104,0.03481338399037558,0.08618621693554578,0.9473333333333334,0
NMF,3,-0.26496616172966053,0.6990825688073394,0.00917431192660545,0.05070422046019473,0.010433896934436023,0.04027032352575871,0.03378659029022398,0.8766666666666667,0
NMF,4,-0.27610528873661777,0.7009174311926606,0.011009174311926606,0.0561260408948072,0.01350665214105673,0.04261938875375047,0.012002488665117909,0.838,0
NMF,5,-0.28407614890757904,0.7009174311926606,0.011009174311926606,0.10967851643984439,0.01406884583904119,0.09560967060080319,0.022153988668373793,0.6053333333333333,0
NMF,6,-0.30460884951083594,0.6972477064220184,0.007339449541284404,0.11956844550319369,0.013626234342679875,0.10594221116051382,0.06976530544928336,0.3506666666666667,0
NMF,8,-0.2548411062178586,0.6990825688073394,0.00917431192660545,0.11026978492024703,0.015459177419243486,0.09481060750100354,0.06750076301839868,0.2886666666666667,0
NMF,10,-0.23701624675413918,0.7009174311926606,0.011009174311926606,0.10104545310473367,0.01877561526786059,0.08226983783687308,0.04142799190508368,0.22066666666666668,0
