algorithm,k,topic,coherence_npmi,top_words
LDA,4,0,0.08578612825339545,"sushi, good, service, fish, bad, rolls, better, salad, roll, location, wasn, old"
LDA,4,1,0.1425547091521759,"good, burger, free, gluten, asked, minutes, cheese, salad, took, allergy, gluten free, meal"
LDA,4,2,0.05867804492229993,"good, poisoning, chicken, eating, bad, great, tasted, shrimp, meat, think, wasn, try"
LDA,4,3,0.12470143837122259,"asked, manager, people, service, called, minutes, customer, staff, bar, experience, bad, want"
NMF,6,0,0.11095128815739785,"good, chicken, salad, pretty, tasted, sauce, try, great, cheese, wasn, sandwich, nice"
NMF,6,1,0.4309398258405229,"gluten, gluten free, free, celiac, contamination, cross contamination, gf, cross, celiac disease, disease, options, asked"
NMF,6,2,0.18151154320677126,"sushi, rolls, fish, roll, tuna, fresh, salmon, great, sashimi, good, old, ok"
NMF,6,3,-0.22376831905777417,"pizza, worst, crust, salad, cheese, pizzas, disgusting, pizza good, pepperoni, hut, mistake, physically sick"
NMF,6,4,0.011293401001320886,"poisoning, eating, hours, days, horrible, stay, bad, poisoning eating, worst, stay away, away, terrible"
NMF,6,5,0.14666119466536393,"minutes, service, asked, manager, took, people, wait, bar, staff, customer, rude, allergy"
